No,Component Name,Category,Keywords,Description,Variants,Accessibility,Animation,Best Practices,Anti-Patterns
1,Navbar,Navigation,"navbar, header, menu, navigation, top-bar",Top navigation bar with logo and links,"Transparent, Sticky, Hamburger, Mega Menu, Centered","Skip-to-content link, aria-current for active, keyboard nav, mobile menu focus trap","Slide down on scroll-up, fade in on load","Logo left, nav right. Max 7 items. Mobile hamburger at 768px","Too many items, no mobile menu, missing skip link"
2,Sidebar,Navigation,"sidebar, drawer, panel, left-nav, vertical-menu",Vertical navigation panel,"Collapsible, Mini, Overlay, Persistent, Nested","aria-expanded for collapsible, keyboard nav, focus management","Slide in/out 200ms, icon-only collapse","Group related items. Show active state. Collapsible on mobile","Always open on mobile, no collapse, too deep nesting"
3,Hero Section,Layout,"hero, banner, header, above-fold, landing",Large prominent section at top of page,"Image bg, Video bg, Split (text+image), Centered, Gradient","Alt text for bg images, heading hierarchy, CTA focus","Parallax, fade-in text, scale image on scroll","Single clear CTA. Heading + subheading + CTA. Max 2 CTAs","Multiple CTAs, no clear hierarchy, slow-loading images"
4,Card,Content,"card, tile, box, panel, item",Content container with optional image and actions,"Basic, Image top, Horizontal, Overlay, Interactive, Pricing","Entire card clickable if link, alt for images, focus ring","Hover lift translateY(-2px), shadow increase","Consistent sizing. Clear hierarchy. Hover feedback","No hover state, inconsistent sizes, too much content"
5,Button,Interactive,"button, cta, action, submit, click",Clickable action element,"Primary, Secondary, Ghost, Icon-only, Loading, Disabled","aria-label for icon-only, disabled state, loading state","Scale 0.98 on press, ripple effect, loading spinner","Min 44x44px touch target. cursor-pointer. Clear label","No hover state, no loading state, too small, no cursor-pointer"
6,Modal/Dialog,Overlay,"modal, dialog, popup, overlay, lightbox",Overlay content panel,"Alert, Confirm, Form, Full-screen, Bottom sheet","Focus trap, Escape to close, aria-modal, return focus","Fade in backdrop, scale up content 200ms","Max 500px width. Close button top-right. Backdrop click close","No focus trap, no escape close, no backdrop, too wide"
7,Form,Input,"form, input, field, text-field, textarea",User input collection,"Login, Register, Contact, Search, Multi-step, Inline","Labels with for, error messages, required indicator, autocomplete","Shake on error, success checkmark, field focus glow","Labels above inputs. Error near field. Disable submit during async","Placeholder as label, error at top only, no validation feedback"
8,Table,Data,"table, grid, data-table, list, spreadsheet",Tabular data display,"Basic, Sortable, Filterable, Expandable, Virtual scroll","scope on headers, caption, responsive card on mobile","Row hover highlight, sort arrow animation","Zebra striping. Sticky header. Responsive card layout on mobile","No responsive, no sticky header, too many columns"
9,Toast/Notification,Feedback,"toast, notification, alert, snackbar, message",Temporary feedback message,"Success, Error, Warning, Info, Action, Persistent","aria-live polite, role alert for errors, auto-dismiss","Slide in from top/bottom, fade out","Auto-dismiss 5s. Max 3 visible. Action button optional","No auto-dismiss, blocking content, no close button"
10,Dropdown/Select,Input,"dropdown, select, menu, combobox, listbox",Selection from options list,"Basic, Searchable, Multi-select, Grouped, Cascading","aria-expanded, aria-activedescendant, keyboard nav, role listbox","Fade in 150ms, max-height transition","Max 7 visible items. Search for 10+ items. Clear selection","No keyboard nav, too many items without search, no clear"
