No,Animation Name,Category,Keywords,CSS Code,Framer Motion,GSAP,Style Match,Duration,Easing,Performance
1,Fade In,Entrance,"fade, appear, show, reveal, opacity","opacity: 0 → 1; transition: opacity 300ms ease","initial={{ opacity: 0 }} animate={{ opacity: 1 }}","gsap.from(el, { opacity: 0, duration: 0.3 })","All styles",300ms,ease,"High — GPU composited"
2,Slide Up,Entrance,"slide, up, reveal, bottom, enter","transform: translateY(20px) → translateY(0); opacity: 0 → 1","initial={{ y: 20, opacity: 0 }} animate={{ y: 0, opacity: 1 }}","gsap.from(el, { y: 20, opacity: 0, duration: 0.4 })","Minimalism, Flat Design",400ms,ease-out,"High — transform only"
3,Slide Down,Entrance,"slide, down, dropdown, menu, expand","transform: translateY(-10px) → translateY(0); opacity: 0 → 1","initial={{ y: -10, opacity: 0 }} animate={{ y: 0, opacity: 1 }}","gsap.from(el, { y: -10, opacity: 0, duration: 0.3 })","All styles",300ms,ease-out,"High — transform only"
4,Scale In,Entrance,"scale, zoom, grow, pop, bounce","transform: scale(0.95) → scale(1); opacity: 0 → 1","initial={{ scale: 0.95, opacity: 0 }} animate={{ scale: 1, opacity: 1 }}","gsap.from(el, { scale: 0.95, opacity: 0, duration: 0.3 })","Glassmorphism, Neumorphism",300ms,cubic-bezier(0.34 1.56 0.64 1),"High — transform only"
5,Hover Lift,Interaction,"hover, lift, float, elevate, card","transform: translateY(-2px); box-shadow: increase","whileHover={{ y: -2, boxShadow: '0 10px 20px rgba(0,0,0,0.1)' }}","gsap.to(el, { y: -2, boxShadow: '0 10px 20px rgba(0,0,0,0.1)', duration: 0.2 })","All styles",200ms,ease,"High — transform only"
6,Button Press,Interaction,"press, click, tap, active, button","transform: scale(0.98)","whileTap={{ scale: 0.98 }}","gsap.to(el, { scale: 0.98, duration: 0.1 })","All styles",100ms,ease,"High — transform only"
7,Shimmer,Loading,"shimmer, skeleton, loading, placeholder, pulse","background: linear-gradient(-90deg, #f0f0f0 0%, #e0e0e0 50%, #f0f0f0 100%); animation: shimmer 1.5s infinite","animate={{ backgroundPosition: ['200% 0', '-200% 0'] }} transition={{ repeat: Infinity, duration: 1.5 }}","gsap.to(el, { backgroundPosition: '-200% 0', duration: 1.5, repeat: -1 })","All styles",1500ms,linear,"Medium — repaint"
8,Pulse,Attention,"pulse, heartbeat, notification, badge, alert","animation: pulse 2s infinite; @keyframes pulse { 0%,100% { opacity: 1 } 50% { opacity: 0.5 } }","animate={{ opacity: [1, 0.5, 1] }} transition={{ repeat: Infinity, duration: 2 }}","gsap.to(el, { opacity: 0.5, duration: 1, yoyo: true, repeat: -1 })","All styles",2000ms,ease-in-out,"High — opacity only"
9,Stagger Children,List,"stagger, list, grid, children, sequence","animation-delay: calc(var(--i) * 50ms)","variants={{ container: { transition: { staggerChildren: 0.05 } } }}","gsap.from('.item', { y: 20, opacity: 0, stagger: 0.05 })","All styles","50ms per item",ease-out,"High — transform only"
10,Parallax,Scroll,"parallax, scroll, depth, layer, background","transform: translateY(calc(var(--scroll) * 0.5))","useScroll() + useTransform(scrollY, [0, 1000], [0, -200])","gsap.to(el, { y: -200, scrollTrigger: { scrub: true } })","Motion-Driven, Aurora UI",continuous,linear,"Medium — scroll listener"
